"Style","Status","Source","Output","CandidateCount"
"FT1370-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1370-20\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1370-20.jpg","4"
"FT1374","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1374\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1374.jpg","1"
"FT1375-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1375-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1375-30.jpg","1"
"FT1376-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1376-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1376-30.jpg","1"
"FT1377-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1377-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1377-30.jpg","2"
"FT1378-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1378-30\场景图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1378-30.jpg","1"
"FT1379-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1379-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1379-30.jpg","1"
"FT1380-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1380-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1380-30.jpg","1"
"FT1381","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1381\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1381.jpg","1"
"FT1382","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1382\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1382.jpg","1"
"FT1383","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1383\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1383.jpg","1"
"FT1384-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1384-30\场景.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1384-30.jpg","1"
"FT1385-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1385-30\场景.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1385-30.jpg","1"
"FT1386-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1386-30\场景.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1386-30.jpg","1"
